ID,map,r-prec,p5
Titles-New_Terms,0.2093,0.2545,0.4333
Titles-New_Terms-SYN,0.102,0.1525,0.3
Titles-Descs-New_Terms,0.2323,0.2754,0.4721
Titles-Descs-New_Terms-SYN,0.0716,0.1209,0.3014
